马克思　恩格斯：《共产党宣言》	Manifest der Kommunistischen Partei Karl MarxFriedrich Engels
行会师傅被工业的中间等级排挤掉了；各种行业组合之间的分工随着各个作坊内部的分工的出现而消失了。	Die Zunftmeister wurden verdrängt durch den industriellen Mittelstand; die Theilung der Arbeit zwischen den verschiedenen Corporationen verschwand vor der Theilung der Arbeit in der einzelnen Werkstatt selbst.
但是，市场总是在扩大，需求总是在增加。	Aber immer wuchsen die Märkte, immer stieg der Bedarf.
甚至工场手工业也不再能满足需要了。	Auch die Manufaktur reichte nicht mehr aus.
于是，蒸汽和机器引起了工业生产的革命。	Da revolutionirten der Dampf und die Maschinerie die industrielle Produktion.
现化大工业化替了工场手工业；工业中的百万富翁，整批整批产业军的统领，现代资产者，代替了工业的中间等级。	An die Stelle der Manufaktur trat die moderne große Industrie, an die Stelle des industriellen Mittelstandes traten die industriellen Millionäre, die Chefs ganzer industriellen Armeen, die modernen Bourgeois.
大工业建立了由美洲的发现所准备的世界市场。	Die große Industrie hat den Weltmarkt hergestellt, den die Entdeckung Amerika’s vorbereitete.
世界市场使商业、航海业和陆路交通得到了巨大的发展。	Der Weltmarkt hat dem Handel, der Schifffahrt, den Landkommunikationen eine unermeßliche Entwicklung gegeben.
这种发展又反过来促进了工业的扩展，同时，工业、商业、航海业和铁路愈是扩展，资产阶级也愈是发展，愈是增加自己的资本，愈是把中世纪遗留下来的一切阶级都排挤到后面去。	Diese hat wieder auf die Ausdehnung der Industrie zurückgewirkt, und in demselben Maße, worin Industrie, Handel, Schifffahrt, Eisenbahnen sich ausdehnten, in demselben Maße entwickelte sich die Bourgeoisie, vermehrte sie ihre Kapitalien, drängte sie alle vom Mittelalter her überlieferten Klassen in den Hintergrund.
由此可见，现代资产阶级本身是一个长期发展过程的产物，是生产方式和交换方式的一系列变革的产物。	Wir sehen also, wie die moderne Bourgeoisie selbst das Produkt eines langen Entwicklungsganges, einer Reihe von Umwälzungen in der Produktionsund Verkehrsweise ist.
资产阶级的这种发展的每一个阶段，都有有相应的政治上的成就伴随着。	Jede dieser Entwicklungsstufen der Bourgeoisie war begleitet von einem entsprechenden politischen Fortschritt.
它在封建领主统治下是被压迫的等级，在公社里是武装的和自治的团体，在一些地方组成独立的城市共和国，在另一些地方组成君主国中的纳税的第三等级，后来，在工场手工业时期，它是等级制君主国或专制君主国中同贵族抗衡的势力，甚至是大君主的主要基础；最后，从大工业和世界市场建立的时候起，它在现代的代议制国家里夺得了独占的政治统治。	Unterdrückter Stand unter der Herrschaft der Feudalherren, bewaffnete und sich selbst verwaltende Associationen in der Commune, hier unabhängige städtische Republik, dort dritter steuerpflichtiger Stand der Monarchie, dann zur Zeit der Manufaktur Gegengewicht gegen den Adel in der ständischen oder in der absoluten Monarchie und Hauptgrundlage der großen Monarchieen überhaupt, erkämpfte sie sich endlich seit der Herstellung der großen Industrie und des Weltmarktes im modernen Repräsentativstaat die ausschließliche politische Herrschaft.
现代的国家政权不过是管理整个资产阶级的共同事务的委员会罢了。	Die moderne Staatsgewalt ist nur ein Ausschuß, der die gemeinschaftlichen Geschäfte der ganzen Bourgeoisklasse verwaltet.
资产阶级在历史上曾经起过非常革命的作用。	[5] Die Bourgeoisie hat in der Geschichte eine höchst revolutionäre Rolle gespielt.
资产阶级在它已经取得了统治的地方把一切封建的、宗法的和田园诗般的关系都破坏了。	Die Bourgeoisie, wo sie zur Herrschaft gekommen, hat alle feudalen, patriarchalischen, idyllischen Verhältnisse zerstört.
它无情地斩断了把人们束缚于天然首长的形形色色的封建羁绊，它使人和人之间除了赤裸裸的利害关系，除了冷酷无情的“现金交易”，就再也没有任何别的联系了。	Sie hat die buntscheckigen Feudalbande, die den Menschen an seinen natürlichen Vorgesetzten knüpften, unbarmherzig zerrissen, und kein anderes Band zwischen Mensch und Mensch übrig gelassen, als das nackte Interesse, als die gefühllose „baare Zahlung.“
它把宗教的虔诚、骑士的热忱、小市民的伤感这些情感的神圣激发，淹没在利己主义打算的冰水之中。	Sie hat die heiligen Schauer der frommen Schwärmerei, der ritterlichen Begeisterung, der spießbürgerlichen Wehmuth in dem eiskalten Wasser egoistischer Berechnung ertränkt.
它把人的尊严变成了交换价值，用一种没有良心的贸易自由代替了无数特许的和自力挣得的自由。	Sie hat die persönliche Würde in den Tauschwerth aufgelöst, und an die Stelle der zahllosen verbrieften und wohlerworbenen Freiheiten die Eine gewissenlose Handelsfreiheit gesetzt.
总而言之，它用公开的、无耻的、直接的、露骨的剥削代替了由宗教幻想和政治幻想掩盖着的剥削。	Sie hat, mit einem Wort, an die Stelle der mit religiösen und politischen Illusionen verhüllten Ausbeutung die offene, unverschämte, direkte, dürre Ausbeutung gesetzt.
资产阶级抹去了一切向来受人尊崇和令人敬畏的职业的灵光。	Die Bourgeoisie hat alle bisher ehrwürdigen und mit frommer Scheu betrachteten Thätigkeiten ihres Heiligenscheins entkleidet.
它把医生、律师、教士、诗人和学者变成了它出钱招雇的雇佣劳动者。	Sie hat den Arzt, den Juristen, den Pfaffen, den Poeten, den Mann der Wissenschaft in ihre bezahlten Lohnarbeiter verwandelt.
资产阶级撕下了罩在家庭关系上的温情脉脉的面纱，把这种关系变成了纯粹的金钱关系。	Die Bourgeoisie hat dem Familienverhältniß seinen rührend-sentimentalen Schleier abgerissen und es auf ein reines Geldverhältniß zurückgeführt.
资产阶级揭示了，在中世纪深受反动派称许的好勇斗狠，是以懒散怠惰作为它的相应的补充的。	Die Bourgeoisie hat enthüllt, wie die brutale Kraftäußerung, die die Reaktion so sehr am Mittelalter bewundert, in der trägsten Bärenhäuterei ihre passende Ergänzung fand.
它第一次证明了，人的活动能够取得什么样的成就。	Erst sie hat bewiesen, was die Thätigkeit der Menschen zustande bringen kann.
它创造了完全不同于埃及金字塔、罗马水道和哥特式教堂的奇迹；它完成了完全不同于民族大迁移和十字军东征的远征。	Sie hat ganz andere Wunderwerke vollbracht, als egyptische Pyramiden, römische Wasserleitungen und gothische Kathedralen, sie hat ganz andere Züge ausgeführt, als Völkerwanderungen und Kreuzzüge.
资产阶级除非使生产工具，从而使生产关系，从而使全部社会关系不断地革命化，否则就不能生存下去。	Die Bourgeoisie kann nicht existiren, ohne die Produktionsinstrumente, also die Produktionsverhältnisse, also sämmtliche gesellschaftlichen Verhältnisse fortwährend zu revolutioniren.
反之，原封不动地保持旧的生产方式，却是过去的一切工业阶级生存的首要条件。	Unveränderte Beibehaltung der alten Produktionsweise war dagegen die erste Existenzbedingung aller früheren industriellen Klassen.
生产的不断变革，一切社会关系不停的动荡，永远的不安定和变动，这就是资产阶级时代不同于过去一切时代的地方。	Die fortwährende Umwälzung der Produktion, die ununterbrochene Erschütterung aller gesellschaftlichen Zustände, die ewige Unsicherheit und Bewegung zeichnet die Bourgeois-Epoche vor allen früheren aus.
一切固定的古老的关系以及与之相适应的素被尊崇的观念和见解都被消除了，一切新形成的关系等不到固定下来就陈旧了。	Alle festen, eingerosteten Verhältnisse mit ihrem Gefolge von altehrwürdigen Vorstellungen und Anschauungen werden aufgelöst, alle neugebildeten veralten, ehe sie verknöchern können.
一切固定的东西都烟消云散了，一切神圣的东西都被亵渎了。人们终于不得不用冷静的眼光来看他们的生活地位，他们的相互关系。	Alles Ständische und Stehende verdampft, alles Heilige wird entweiht, und die Menschen sind endlich gezwungen, ihre Lebensstellung, ihre gegenseitigen Beziehungen mit nüchternen Augen anzusehen.
不断扩大产品销路的需要，驱使资产阶级奔走于全球各地。	Das Bedürfniß nach einem stets ausgedehnteren Absatz für ihre Produkte jagt die Bourgeoisie über die ganze Erdkugel.
它必须到处落户，到处创业，到处建立联系。	Ueberall muß sie sich einnisten, überall anbauen, überall Verbindungen herstellen.
资产阶级，由于开拓了世界市场，使一切国家的生产和消费都成为世界性的了。	Die Bourgeoisie hat durch die Exploitation des Weltmarkts die Produktion und Konsumtion aller Länder kosmopolitisch gestaltet.
不管反动派怎样惋惜，资产阶级还是挖掉了工业脚下的民族基础。	Sie hat zum großen Bedauern der Reaktionäre den nationalen Boden der Industrie unter den Füßen weggezogen.
古老的民族工业被消灭了，并且每天都还在被消灭。	Die uralten nationalen Industrieen sind vernichtet worden und werden noch täglich vernichtet.
它们被新的工业排挤掉了，新的工业的建立已经成为一切文明民族的生命攸关的问题；这些工业所加工的，已经不是本地的原料，而是来自极其遥远的地区的原料；它们的产品不仅供本国消费，而且同时供世界各地消费。	Sie werden verdrängt durch neue Industrieen, deren Einführung eine Lebensfrage für alle civilisirte Nationen wird, durch Industrieen, die nicht mehr einheimische Rohstoffe, sondern den entlegensten Zonen angehörige Rohstoffe verarbeiten, und deren Fabrikate nicht nur im Lande selbst, sondern in allen Welttheilen zugleich verbraucht werden.
旧的、靠国产品来满足的需要，被新的、要靠极其遥远的国家和地带的产品来满足的需要所代替了。	An die Stelle der alten, durch Landeserzeugnisse befriedigten Bedürfnisse treten neue, welche die Produkte der entferntesten Länder und Klimate zu ihrer Befriedigung erheischen.
过去那种地方的和民族的自给自足和闭关自守状态，被各民族的各方面的互相往来和各方面的互相依赖所代替了。	An die Stelle der alten lokalen und nationalen Selbstgenügsamkeit und Abgeschlossenheit tritt ein allseitiger Verkehr, eine allseitige Abhängigkeit [6] der Nationen von einander.
物质的生产是如此，精神的生产也是如此。	Und wie in der materiellen, so auch in der geistigen Produktion.
各民族的精神产品成了公共的财产。	Die geistigen Erzeugnisse der einzelnen Nationen werden Gemeingut.
民族的片面性和局限性日益成为不可能，于是，由许多种民族的和地方的文学形成了一种世界的文学。	Die nationale Einseitigkeit und Beschränktheit wird mehr und mehr unmöglich, und aus den vielen nationalen und lokalen Literaturen bildet sich eine Weltliteratur.
资产阶级，由于一切生产工具的迅速改进，由于交通的极其便利，把一切民族甚至最野蛮的民族都卷到文明中来了。	Die Bourgeoisie reißt durch die rasche Verbesserung aller Produktions-Instrumente, durch die unendlich erleichterten Kommunikationen alle, auch die barbarischsten Nationen in die Civilisation.
它的商品的低廉价格，是它用来摧毁一切万里长城、征服野蛮人最顽强的仇外心理的重炮。	Die wohlfeilen Preise ihrer Waaren sind die schwere Artillerie, mit der sie alle chinesischen Mauern in den Grund schießt, mit der sie den hartnäckigsten Fremdenhaß der Barbaren zur Kapitulation zwingt.
它迫使一切民族——如果它们不想灭亡的话──采用资产阶级的生产方式；它迫使它们在自己那里推行所谓文明制度，即变成资产者。	Sie zwingt alle Nationen die Produktionsweise der Bourgeoisie sich anzueignen, wenn sie nicht zugrunde gehen wollen; sie zwingt sie die sogenannte Civilisation bei sich selbst einzuführen, d. h. Bourgeois zu werden.
一句话，它按照自己的面貌为自己创造出一个世界。	Mit einem Wort, sie schafft sich eine Welt nach ihrem eigenen Bilde.
资产阶级使乡村屈服于城市的统治。	Die Bourgeoisie hat das Land der Herrschaft der Stadt unterworfen.
它创立了巨大的城市，使城市人口比农村人口大大增加起来，因而使很大一部分居民脱离了乡村生活的愚昧状态。	Sie hat enorme Städte geschaffen, sie hat die Zahl der städtischen Bevölkerung gegenüber der ländlichen in hohem Grade vermehrt, und so einen bedeutenden Theil der Bevölkerung dem Idiotismus des Landlebens entrissen.
正象它使乡村从属于城市一样，它使未开化和半开化的国家从属于文明的国家，使农民的民族从属于资产阶级的民族，使东方从属于西方。	Wie sie das Land von der Stadt, hat sie die barbarischen und halbbarbarischen Länder von den civilisirten, die Bauernvölker von den Bourgeoisvölkern, den Orient vom Occident abhängig gemacht.
资产阶级日甚一日地消灭生产资料、财产和人口的分散状态。	Die Bourgeoisie hebt mehr und mehr die Zersplitterung der Produktionsmittel, des Besitzes und der Bevölkerung auf.
它使人口密集起来，使生产资料集中起来，使财产聚集在少数人的手里。	Sie hat die Bevölkerung agglomerirt, die Produktionsmittel centralisirt und das Eigenthum in wenigen Händen koncentrirt.
由此必然产生的后果就是政治的集中。	Die nothwendige Folge hiervon war die politische Centralisation.
各自独立的、几乎只有同盟关系的、各有不同利益、不同法律、不同政府、不同关税的各个地区，现在已经结合为一个拥有统一的政府、统一的法律、统一的民族阶级利益和统一的关税的国家了。	Unabhängige, fast nur verbündete Provinzen mit verschiedenen Interessen, Gesetzen, Regierungen und Zöllen wurden zusammengedrängt in Eine Nation, Eine Regierung, Ein Gesetz, Ein nationales Klasseninteresse, Eine Douanenlinie.
资产阶级在它的不到一百年的阶级统治中所创造的生产力，比过去一切世代创造的全部生产力还要多，还要大。	Die Bourgeoisie hat in ihrer kaum hundertjährigen Klassenherrschaft massenhaftere und kolossalere Produktionskräfte geschaffen, als alle vergangenen Generationen zusammen.
自然力的征服，机器的采用，化学在工业和农业中的应用，轮船的行驶，铁路的通行，电报的使用，整个整个大陆的开垦，河川的通航，仿佛用法术从地下呼唤出来的大量人口，──过去哪一个世纪能够料想到有这样的生产力潜伏在社会劳动里呢？	Unterjochung der Naturkräfte, Maschinerie, Anwendung der Chemie auf Industrie und Ackerbau, Dampfschiffahrt, Eisenbahnen, elektrische Telegraphen, Urbarmachung ganzer Welttheile, Schiffbarmachung der Flüsse, ganze aus dem Boden hervorgestampfte Bevölkerungen – welch früheres Jahrhundert ahnte, daß solche Produktionskräfte im Schooß der gesellschaftlichen Arbeit schlummerten.
由此可见，资产阶级赖以生产资料和交换手段，是在封建社会里造成的。	Wir haben aber gesehn: Die Produktionsund Verkehrsmittel, auf deren Grundlage sich die Bourgeoisie heranbildete, wurden in der feudalen Gesellschaft erzeugt.
在这些生产资料和交换手段发展的一定阶段上，封建社会的生产和交换在其中进行的关系，封建的农业和工业组织，一句话，封建的所有制关系，就不再适应已经发展的生产力了。	Auf einer gewissen Stufe der Entwicklung dieser Produktionsund Verkehrsmittel entsprachen die Verhältnisse, worin die feudale Gesellschaft producirte und austauschte, die feudale Organisation der Agrikultur und Manufaktur, mit einem Wort die feudalen Eigenthums-Verhältnisse den schon entwickelten Produktivkräften nicht mehr.
这种关系已经在阻碍生产而不是促进生产了。	Sie hemmten die Produktion statt sie zu fördern.
它变成了束缚生产的桎梏。	Sie verwandelten sich in eben so viele Fesseln.
它必须被打破，而且果然被打破了。	Sie mußten gesprengt werden, sie wurden gesprengt.
起而代之的是自由竞争以及与自由竞争相适应的社会制度和政治制度、资产阶级的经济统治和政治统治。	An ihre Stelle trat die freie Konkurrenz mit der ihr angemessenen gesellschaftlichen und politischen Konstitution, mit der ökonomischen und politischen Herrschaft der Bourgeois-Klasse.
现在，我们眼前又进行着类似的运动。	Unter unsren Augen geht eine ähnliche Bewegung vor.
资产阶级的生产关系和交换关系，资产阶级的所有制关系，这个曾经仿佛用法术创造了如此庞大的生产资料和交换手段的现代资产阶级社会，现在象一个巫师那样不能再支配自己用符咒呼唤出来的魔鬼了。	Die bürgerlichen Produktionsund Verkehrs-Verhältnisse, die bürgerlichen Eigenthums-Verhältnisse, die moderne bürgerliche Gesellschaft, die so gewaltige Produktionsund Verkehrsmittel hervorgezaubert hat, gleicht dem Hexenmeister, der die unterirdischen Gewalten nicht mehr zu beherrschen vermag, die er herauf beschwor.
几十年来的工业和商业的历史，只不过是现代生产力反抗现代生产关系、反抗作为资产阶级及其统治的存在条件的所有制关系的历史。	[7] Seit Dezennien ist die Geschichte der Industrie und des Handels nur noch die Geschichte der Empörung der modernen Produktivkräfte gegen die modernen Produktions-Verhältnisse, gegen die Eigenthums-Verhältnisse, welche die Lebens-Bedingungen der Bourgeoisie und ihrer Herrschaft sind.
要证明这一点，只要指出在周期性的循环中愈来愈危及整个资产阶级社会生存的商业危机就够了。	Es genügt die Handelskrisen zu nennen, welche in ihrer periodischen Wiederkehr immer drohenden die Existenz der ganzen bürgerlichen Gesellschaft in Frage stellen.
在商业危机期间，总是不仅有很大一部分制成的产品被毁灭掉，而且有很大一部分已经造成的生产力被毁灭掉。	In den Handelskrisen wird ein großer Theil nicht nur der erzeugten Produkte, sondern sogar der bereits geschaffenen Produktivkräfte regelmäßig vernichtet.
在危机期间，发生一种在过去一切时代看来都好象是荒唐现象的社会瘟疫，即生产过剩的瘟疫。	In der Krisen bricht eine gesellschaftliche Epidemie aus, welche allen früheren Epochen als ein Widersinn erschienen wäre – die Epidemie der Ueberproduktion.
社会突然发现自己回到了一时的野蛮状态；仿佛是一次饥荒、一场普遍的毁灭性战争，吞噬了社会的全部生活资料；仿佛是工业和商业全被毁灭了，──这是什么缘故呢？	Die Gesellschaft findet sich plötzlich in einen Zustand momentaner Barbarei zurückversetzt; eine Hungersnoth, ein allgemeiner Verwüstungskrieg scheinen ihr alle Lebensmittel abgeschnitten zu haben; die Industrie, der Handel scheinen vernichtet, und warum?
因为社会上文明过度，生活资料太多，工业和商业太发达。	Weil sie zu viel Civilisation, zu viel Lebensmittel, zu viel Industrie, zu viel Handel besitzt.
社会所拥有的生产力已经不能再促进资产阶级文明和资产阶级所有制关系的发展；相反，生产力已经强大到这种关系所不能适应的地步，它已经受到这种关系的阻碍；而它一着手克服这种障碍，就使整个资产阶级社会陷入混乱，就使资产阶级所有制的存在受到威胁。	Die Produktivkräfte, die ihr zur Verfügung stehen, dienen nicht mehr zur Beförderung der bürgerlichen Civilisation und der bürgerlichen Eigenthums-Verhältnisse; im Gegentheil, sie sind zu gewaltig für diese Verhältnisse geworden, sie werden von ihnen gehemmt, und so bald sie dies Hemmniß überwinden, bringen sie die ganze bürgerliche Gesellschaft in Unordnung, gefährden sie die Existenz des bürgerlichen Eigenthums.
资产阶级的关系已经太狭窄了，再容纳不了它本身所造成的财富了。	Die bürgerlichen Verhältnisse sind zu eng geworden um den von ihnen erzeugten Reichthum zu fassen.
──资产阶级用什么办法来克服这种危机？	– Wodurch überwindet die Bourgeoisie die Krisen?
一方面不得不消灭大量生产力，另一方面夺取新的市场，更加彻底地利用旧的市场。	Einerseits durch die erzwungene Vernichtung einer Masse von Produktivkräften; andererseits durch die Eroberung neuer Märkte, und die gründlichere Ausbeutung der alten Märkte.
这究竟是怎样的一种办法呢？	Wodurch also?
这不过是资产阶级准备更全面更猛烈的危机的办法，不过是使防止危机的手段愈来愈少的办法。	Dadurch, daß sie allseitigere und gewaltigere Krisen vorbereitet und die Mittel, den Krisen vorzubeugen, vermindert.
资产阶级用来推翻封建制度的武器，现在却对准资产阶级自己了。	Die Waffen, womit die Bourgeoisie den Feudalismus zu Boden geschlagen hat, richten sich jetzt gegen die Bourgeoisie selbst.
但是，资产阶级不仅锻造了置自身于死地的武器；它还产生了将要运用这种武器的人──现代的工人，即无产者。	Aber die Bourgeoisie hat nicht nur die Waffen geschmiedet, die ihr den Tod bringen; sie hat auch die Männer gezeugt, die diese Waffen führen werden – die modernen Arbeiter, die Proletarier.
资产阶级即资本愈发展，无产阶级即现代工人阶级也在同一程度上跟着发展；现代的工人只有当他们找到工作的时候才能生存，而且只有当他们的劳动增殖资本的时候才能找到工作。	In demselben Maße, worin sich die Bourgeoisie, d.h. das Kapital entwickelt, in demselben Maße entwickelt sich das Proletariat, die Klasse der modernen Arbeiter, die nur so lange leben, als sie Arbeit finden, und die nur so lange Arbeit finden, als ihre Arbeit das Kapital vermehrt.
这些不得不把自己零星出卖的工人，象其他任何货物一样，也是一种商品，所以他们同样地受到竞争方面的一切变化的影响，受到市场方面的一切波动的影响。	Diese Arbeiter, die sich stückweis verkaufen müssen, sind eine Waare wie jeder andere Handelsartikel, und daher gleichmäßig allen Wechselfällen der Konkurrenz, allen Schwankungen des Marktes ausgesetzt.
由于机器的推广和分工的发展，无产者的劳动已经失去了任何独立的性质，因而也失去了对工人的任何吸引力。	Die Arbeit der Proletarier hat durch die Ausdehnung der Maschinerie und die Theilung der Arbeit allen selbstständigen Charakter und damit allen Reiz für den Arbeiter verloren.
工人变成了机器的单纯的附属品，要求他做的只是极其简单、极其单调和极容易学会的操作。	Er wird ein bloßes Zubehör der Maschine, von dem nur der einfachste, eintönigste, am leichtesten erlernbare Handgriff verlangt wird.
因此，花在工人身上的费用，几乎只限于维持工人生活和延续工人后代所必需的生活资料。	Die Kosten, die der Arbeiter verursacht, beschränken sich daher fast nur auf die Lebensmittel, die er zu seinem Unterhalt und zur Fortpflanzung seiner Race bedarf.
但是，商品的价格，从而劳动的价格，是同它的生产费用相等的。	Der Preis einer Waare, also auch der Arbeit ist aber gleich ihren Produktionskosten.
因此，劳动愈使人感到厌恶，工资也就愈减少。不仅如此，机器愈推广，分工愈细致，劳动量也就愈增加，这或者是由于工作时间的延长，或者是由于在一定时间内所要求的劳动量的增加，机器运转的加速，等等。	In demselben Maße, in dem die Widerwärtigkeit der Arbeit wächst, nimmt daher der Lohn ab. Noch mehr, in demselben Maße wie Maschinerie und Theilung der Arbeit zunehmen, in demselben Maße nimmt auch die Masse der Arbeit zu, sei es durch Vermehrung der Arbeitsstunden, sei es durch Vermehrung der in einer gegebenen Zeit geforderten Arbeit, beschleunigten Lauf der Maschinen u. s. w.
现代工业已经把家长式的师傅的小作坊变成了工业资本家的大工厂。	Die moderne Industrie hat die kleine Werkstube des patriarchalischen Meisters in die große Fabrik des industriellen Kapitalisten verwandelt.
挤在工厂里的工人群众就象士兵一样被组织起来。	Arbeiter[8] Massen in der Fabrik zusammengedrängt, werden soldatisch organisirt.
他们是产业军的普通士兵，受着各级军士和军官的层层监视。	Sie werden als gemeine Industriesoldaten unter die Aufsicht einer vollständigen Hierarchie von Unteroffizieren und Offizieren gestellt.
他们不仅是资产阶级的、资产阶级国家的奴隶，并且每日每时都受机器、受监工、首先是受各个厂主资产者本人的奴役。	Sie sind nicht nur Knechte der Bourgeoisklasse, des Bourgeoisstaates, sie sind täglich und stündlich geknechtet von der Maschine, von dem Aufseher, und vor Allem von dem einzelnen fabrizirenden Bourgeois selbst.
这种专制制度愈是公开地把发财致富宣布为自己的最终目的，它就愈是可鄙、可恨和可恶。	Diese Despotie ist um so kleinlicher, gehässiger, erbitternder, je offener sie den Erwerb als ihren letzten Zweck proklamirt.
手的操作所要求的技巧和气力愈少，换句话说，现代工业愈发达，男工也就愈受到女工的排挤。	Je weniger die Handarbeit Geschicklichkeit und Kraftäußerung erheischt, d.h. je mehr die moderne Industrie sich entwickelt, desto mehr wird die Arbeit der Männer durch die der Weiber und Kinder verdrängt.
对工人阶级来说，性别和年龄的差别再没有什么社会意义了。	Geschlechtsund Alters-Unterschiede haben keine gesellschaftliche Geltung mehr für die Arbeiterklasse.
